Title,Location,Company,Posting,Salary,Description,Salary_Low,Salary_High,Unit,Currency
CSR GraPARI - Sumatera Barat,Padang,Infomedia,10 jam yang lalu,,"Job Description
1. Melayani informasi, permintaan dan keluhan atas jasa layanan Telkomsel bagi seluruh pelanggan Telkomsel 2. Membuat eskalasi permasalahan pelanggan yang tidak dapat diselesaikan melalui tiket Cookies atau media lain yang ditentukan kepada fungsi 3. Service Operation Support. 4. Mengidentifikasi dan mencatatkan tujuan atau permasalahan pelanggan/calon pelanggan datang ke GraPARI di aplikasi yang telah ditentukan oleh Telkomsel.
Job Requirement
1. Pendidikan min. D3 semua jurusan 2. Bisa berkomunikasi dengan baik 3. Bisa bekerja secara mandiri dan juga team 4. Pola pikir analitis, detail oriented dan mampu bekerja multi tasking 5. Aktif Bahasa Inggris 6. Target Orientied,
Skill Requirement
Public Communication",,,,
Sales Promotion (SPG),Padang,PT Pilofice,8 jam yang lalu,,"ZOOMWATCH, toko yang bergerak di bidang penjualan dan layanan jam tangan ternama, membuka kesempatan bergabung untuk posisi:
Sales Promotion (SPG)
Penempatan: Basko Grand Mall & Basko City Mall
Untuk informasi tentang kami Kunjungi website : https://zoomwatch.id/

Deskripsi Tugas:
-Melayani pelanggan dengan ramah dan profesional
-Menjual dan mempromosikan produk jam tangan & aksesorinya
-Membantu pelayanan servis : ganti baterai, potong tali, dan lainnya
-Merawat kebersihan dan kerapian area toko
-Mempromosikan produk secara online melalui media sosial toko

Kualifikasi:
-Wa-ni-ta Usia 22–30 tahun
-Pendidikan minimal S1 dari semua jurusan
-Tinggi Badan Mininal 160cm
-Memiliki komunikasi yang baik, antusias dalam melayani konsumen
-Terbiasa menggunakan media sosial (Instagram, TikTok, dll) untuk keperluan promosi
-Disiplin, rajin, jujur, dan siap bekerja dalam tim
-Pengalaman sebagai Sales Promotion menjadi nilai plus, namun fresh graduate dipersilakan melamar

Benefit:
Gaji pokok
Bonus penjualan
Upah lembur
BPJS Kesehatan
BPJS Ketenagakerjaan

Note : Harap mencantumkan foto terbaru berbusana rapih terlilhat dari kepala hingga kaki dalam CV saat mengirimkan lamaran.

Kami mencari pribadi yang semangat, menyukai dunia fashion & aksesoris, serta siap berkembang bersama tim ZOOMWATCH!
Kirimkan lamaran dan CV Anda sekarang juga melalui JobStreet dan Kami akan menghubungi kalian.",,,,
Direct Sales Provider,Padang,Prima Fajar Cahaya Surya,22 jam yang lalu,,- Melakukan penjualan produk provider internet wifi secara door to doorKualifikasi:- Fresh Graduate dipersilahkan melamar- Pendidikan minimal SMA/K/Sederajat- Terbuka untuk yang belum memiliki pengalaman kerja- Memiliki motor pribadi- Memiliki kemampuan komunikasi yang bagus- Memiliki kemampuan negosiasi & penjualan yang bagusBenefit:- Gaji Pokok- Insentif tanpa batas - Pria/Wanita- Tanpa Pengalaman Bekerja- SMA/SMK- 18 - 45 Tahun- Terima kandidat tanpa foto diri- Kota sesuai penempatan kerja (Kota Padang),,,,
Sales Trainee Academy - Padang,Padang,Ruangguru.com,1 hari yang lalu,,"Sales Trainee Academy by RuangguruRuangguru membuka kembali program STAR (Sales Trainee Academy by Ruangguru) untuk penempatan Seluruh Indonesia. Ini adalah kesempatan bagus untuk kamu yang ingin belajar membangun karir sebagai Educational Consultant dan berkontribusi dalam memajukan pendidikan di Indonesia!Apa saja yang akan kamu dapatkan jika mengikuti STAR? 1. Training selama 1-2 minggu bersama mentor-mentor berpengalaman 2. Mengimplementasikan training yang diberikan dan beradaptasi di lapangan melalui On The Job Training (OJT)3. Memiliki kesempatan untuk menjadi karyawan Ruangguru 4. Mendapatkan insentif selama periode pelatihan dan OJTJob Description:- Menjaga hubungan baik dengan calon pelanggan dan pelanggan- Menawarkan solusi masalah pendidikan yang dihadapi dan mencocokkan dengan produk Ruangguru- Melakukan follow up kepada pengguna aplikasi Ruangguru untuk berlangganan fitur berbayarRequirements:- Pendidikan terakhir D3 atau S1- Bersedia untuk bekerja dari kantor (sesuai penempatan)- Percaya diri, gigih, disiplin, dan bertanggung-jawab serta berorientasi pada target- Senang untuk tampil dan berbicara di depan umum- Memiliki laptop dan smartphone pribadi - Pria/Wanita- Tanpa Pengalaman Bekerja - Diploma- 20 - 30 Tahun- Terima kandidat tanpa foto diri- Kota sesuai penempatan kerja (Kota Padang)",,,,
Account Executive Myrepublic Padang,Padang,TRI ORION PROSPEKINDO,2 hari yang lalu,,"Pria/Wanita 18-40 thnPendidikan terakhir SMA/SMK SederajatMemiliki kendaraan motor digunakan sendiri tidak bergantian (WAJIB)Memiliki HandphoneBersedia Mobile Selling dengan tim sesuai area arahan dari Area SupervisorTerbiasa kerja lapanganTidak sedang kuliah (Online Dipersilahkan mendaftar)Jobdesk :Memasarkan produk atau mencari customer untuk layanan pemasangan internet dan tv kabel/tv digital dari rumah ke rumahBenefit :Uang Operasional mulai dari 2.500.000Dapat Fee Training/Uang TrainingBerbagai macam tipe insentif (Insentif penjual, insentif pertiga bulan, insentif pertahun, dll)BPJS TK BPUJenjang KarirTunjangan dll - Pria/Wanita- Tanpa Pengalaman Bekerja- SMA/SMK- 18 - 40 Tahun- Terima kandidat tanpa foto diri- Kota sesuai penempatan kerja (Kota Padang)",,,,
Store Manager/Store Head/Store Leader/Store Consultant,Padang Barat,Xiaomi Technology,1 hari yang lalu,,"Please upload your English resume & This position requires a college degree and a diploma.
We are looking for candidates with sales and management experience. Please send your resume!
About the Job
As a leader at a Xiaomi Store/Shop, you’ll be responsible for leading the store team, driving sales performance, and ensuring excellent customer experiences while managing daily operations and inventory.
What You’ll Be Doing
Manage store operations and achieve sales targets
Lead the team and ensure excellent customer service
Oversee inventory and visual merchandising
Ensure SOP compliance
Analyze sales data and implement growth strategies
What We’re Looking For
An experienced professional with a background in retail or a related industry, having held roles such as Store Manager, Store Leader, Store Supervisor, Operation Manager, etc
Ability to communicate in English",,,,
Field Sales,Padang,PT Sinar Jernih Suksesindo,27 hari yang lalu,,1. D3 any major2. Experience as sales/marketing (addition point)3. Good in communication4. Experience as Field sales5. Ready to work in the field6. Have self own vehicle to support working activities - Pria/Wanita- Berpengalaman- Diploma- 20 - 33 Tahun- Terima kandidat tanpa foto diri - Kota sesuai penempatan kerja (Kota Padang),,,,
BRANCH MANAGER - Padang,Padang,PT Jaya Fermex,4 hari yang lalu,,"About the company
FERMEX Group as a First Mover in Indonesia for Yeast & Bakery Ingredients Product, has established since 1976. Our company is affiliate legal entity between AB MAURI UK & CITRA BONANG GROUP.
PT JAYA FERMEX as part of FERMEX Group which focused on distributes our best and excellent bakery ingredients products and serves our customers around Indonesia. Currently, we have 17 branches and 23 agent/ distributors, and operates in major cities in Indonesia.
We are seeking a dynamic and results-driven Branch Manager to lead our branch operations and achieve sales targets. You will play a key role in driving branch revenue, transactions, and customer growth while ensuring full compliance with Know Your Customer (KYC) regulations. 

JOB RESPONSIBILITIES :
Lead, direct, motivate sales team in achieving sales target KPIs.
Perform sales activities & collection to customers for helping salesman who are absent from work
Lead and direct the admin and logistics team so that they perform their duties in accordance with the requirements and SOP
Create report of sales visit and target achievement reports both weekly and monthly
Create competitor activity report
Build relationship with the logistic department, to ensure that all customer orders can and have been shipped on time + item + quantity
Coordinate with logistics department (forecast and PO requests), finance, HRD, purchasing and audit for running operations relate with company's regulation
Assist sales team in making preparations, conducting visits to customers and following up sales and prospect
Assist sales team in negotiating with customers
Join visit to baker who work less than 3 months or sales team who do not perform OA and volume in period of 3 months
Handle and resolve customer complaints
Periodically review the sales territory mapping based on sub-districts/ visits to be more effective in the field

REQUIREMENTS :
Bachelor's degree or master's degree in any major 
Minimum 3 years experiences in bakery ingredients, food ingredients, FMCG company
Strong knowledge in sales, finance and supply chain
Good in computer literacy, microsoft office and other software  
Strong leadership skills to guide teams and achieve business goals
Effective communication skills with customers, other departments, and team members
The ability to address customer concerns, resolve issues, and build loyalty
Candidate is willing to travel for business propose",,,,
SALES - Padang,Padang,PT Jaya Fermex,4 hari yang lalu,,"About the company
FERMEX Group as a First Mover in Indonesia for Yeast & Bakery Ingredients Product, has established since 1976. Our company is affiliate legal entity between AB MAURI UK & CITRA BONANG GROUP.
PT JAYA FERMEX as part of FERMEX Group which focused on distributes our best and excellent bakery ingredients products and serves our customers around Indonesia. Currently, we have 17 branches and 23 agent/ distributors, and operates in major cities in Indonesia.
The role that we offer is SALES EXECUTIVE, the placement will be in Padang
Join our team and be a part of a thriving company that values creativity, fosters growth, and empowers its employees to reach new heights. 

JOB RESPONSIBILITIES :
Plan the amount of goods to be carried according to the standard stock van and daily route
Make a monthly visit plan according to the sales territorial route (route has planned by branch manager)
Develop and plan sales planning (OA, NOO, NIP) within the territory area
Make a routine schedule for visiting customers in the territory area 
Perform sales transactions, product transaction planning (forecast) per week-month in each customer
Displaying/ cleaning products/ chiller
Conduct surveys and analysis of the market and competitors on a regular/ periodic basis
Build good relationships with customers of PT Jaya Fermex 
Create billing according to the invoice / DO nominal
Report all transfer slip to the admin collection 

REQUIREMENTS :
Candidate must posses at least high school/ diploma in any major
At least 2 year(s) of working experience in related field field is required this position (sales executive in bakery ingredients, food ingredients, and FMCG food category)
Good in communication skill, drive to result, agile and high drive for excellent performance
Mastering the sales activity and its monitoring (basic call procedure, EC, OA)
Having driving license (SIM C)
Willing to be placed in Padang",,,,
Sales Promotor Team Leader - Padang Area,Padang,Indodana,7 hari yang lalu,,"Responsible for sales targets in accordance with the area
Daily visit to merchant and make good relationship with PIC store
Ensuring the program in its area runs well and the programs sales targets can be met
To ensure placement POP material promotion in store
Coordinate with partner operational teams to obtain information regarding sales, competitors and field issues
Handle around 20-30 Sales Promoters
Monitoring the daily activities of Promoters
Conducting field team training and refreshment training for PromoterQualifications:
Candidate must possess at least Senior
High School or Diploma in any field
At least 2
Year(s) of working experience in the related field is required for this position
Required Skill(s): have strong Leadership and able to manage Team and
Area have good communication skill and marketing skill with media social
Preferably Staff (non-management & non-supervisor) specialized in Sales
Financial Services (Insurance, Unit Trust, etc) or equivalent
Familiar with MS Office and Excel
Able to work shifting
Pria/Wanita
Tanpa Pengalaman Bekerja
SMA/SMK
25
35 Tahun
Terima kandidat tanpa foto diri
Kota sesuai penempatan kerja (Kota Padang)",,,,
Driver,Padang,Blue Bird Group Padang,2 hari yang lalu,Rp 3.000.000 – Rp 4.500.000 per month,"Kami dari PT. Blue Bird, tbk Cabang Padang sedang membuka lowongan untuk posisi penuh waktu Driver Di Padang. Lamar sekarang untuk menjadi bagian dari tim kami.
*Mencari kandidat untuk bekerja pada:
Senin: Pagi, Sore
Selasa: Pagi, Sore
Rabu: Pagi, Sore
Kamis: Pagi, Sore
Jum'at: Pagi, Sore
Sabtu: Pagi, Sore
Minggu: Pagi, Sore
*Tidak diperlukan pengalaman kerja untuk posisi ini
*Gaji yang diinginkan: Rp3,000,000 - Rp4.500,000 per bulan",3000000.0,4500000.0,month,IDR
Customer Service,Padang,PT GOS Indoraya,6 hari yang lalu,,"PT GOS Indoraya membuka kesempatan berkarir untuk posisi Customer Service Officer (CSO) dengan penempatan di Padang.Kualifikasi:1. Perempuan, Diutamakan Fresh Graduate 2. Belum menikah3. Tinggi badan minimal 158 cm dengan proporsional4. Pendidikan minimal SMA/SMK5. Berpenampilan menarik dan berambut panjang6. Terbiasa mengoperasikan PC/Laptop & Microsoft Office7. Teliti, detail, dan bertanggung jawabJob Description:1. Menangani customer2. Siap bertugas pada event di luar kantor3. Bersedia bekerja secara mobileBenefit:1. Gaji sesuai UMK penempatan2. BPJS Kesehatan3. BPJS Ketenagakerjaan - Wanita- Tanpa Pengalaman Bekerja- SMA/SMK- 19 - 25 Tahun- Terima kandidat tanpa foto diri- Kota sesuai penempatan kerja (Kota Padang)",,,,
Sales Trainee Academy for English Academy - Padang - Tarandam,Padang,Ruangguru.com,8 hari yang lalu,,"- Menjaga hubungan baik dengan calon pelanggan dan pelanggan- Menawarkan solusi masalah pendidikan yang dihadapi dan mencocokkan dengan produk Ruangguru- Melakukan follow up kepada pengguna aplikasi Ruangguru untuk berlangganan fitur berbayarRuangguru membuka kembali program STAR (Sales Trainee Academy by Ruangguru) untuk penempatan Seluruh Indonesia. Ini adalah kesempatan bagus untuk kamu yang ingin belajar membangun karir sebagai Educational Consultant dan berkontribusi dalam memajukan pendidikan di Indonesia!Apa saja yang akan kamu dapatkan jika mengikuti STAR? 1. Training selama 1-2 minggu bersama mentor-mentor berpengalaman 2. Mengimplementasikan training yang diberikan dan beradaptasi di lapangan melalui On The Job Training (OJT) 3. Memiliki kesempatan untuk menjadi karyawan Ruangguru 4. Mendapatkan insentif selama periode pelatihan dan OJTRequirements:- Pendidikan terakhir D3 atau S1- Bersedia untuk bekerja dari kantor (sesuai penempatan)- Percaya diri, gigih, disiplin, dan bertanggung-jawab serta berorientasi pada target- Senang untuk tampil dan berbicara di depan umum- Memiliki laptop dan smartphone pribadi - Pria/Wanita- Tanpa Pengalaman Bekerja- Diploma- 22 - 35 Tahun- Terima kandidat tanpa foto diri- Radius 10 km dari penempatan kerja",,,,
Travel Consultant Banjarmasin,Banjarmasin,PT. Dwidaya World Wide,5 hari yang lalu,,"Deskripsi pekerjaan:
Melakukan seluruh proses penjualan product tour & travel, hotel, ticket pesawat, dokumen perjalanan ,akomodasi perjalanan hingga asuransi perjalanan.
Memberikan service yang excellent baik ke customer walk in maupun corporate.
Mengikuti program pelatihan dan pengembangan product maupun service untuk meningkatakan kompetensi agar bisa memaksimalkan kinerja untuk mencapai target penjualan.
Persyaratan:
Fresh Graduate from any major are welcome to apply
Lebih disukai lulusan jurusan Pariwisata / Usaha Perjalanan Wisata
Berpenampilan rapi
Jujur, ramah dan mampu berinisiatif
Memiliki kemampuan komunikasi yang baik dan dapat bekerja di bawah tekanan
Bersedia bekerja shifting di cabang Mall
Placement for Dwidaya Branch Duta Mall Banjarmasin",,,,
QHSE Officer,Banjarmasin,PT Sinarmas LDA Maritime,29 hari yang lalu,,"This position will be based on Tarjun - South Kalimantan
Task:
Ensure the Company Management System is implemented on site
Work together with Site Manager as to best reply the client requests
Report to Site Manager and QHSE Department main office if any gab is seen in the implementation of the Company management system
Conduct assessments of hazards at workplace and provide input to employees regarding work hazard threats
Maintain continuous legal watch to include any change due to Laws and or Regulations modification
Carry out the Daily / Monthly / Quarterly / Yearly inspections of safety / security items and issue inspection reports
Control and check the safety equipment to ensure their good working condition and organize their control by third party when necessary
Together with any interested parties, investigate incident on site, conduct analysis, issue an investigation report and propose / put in place corrective actions so that it does not happen again in the future
Ensure the availability and good usage of PPEs by employees
Carry out the functions of supervisor, coach, counselor, motivating and applying OHSE disciplines at office and at the location of the project
Record and report OHSE violations
Has the authority to directly reprimand OHSE violations at all levels of the organization
Give warning and propose sanctions to employee who violates the provisions and OHSE policies
Make QHSE training plan required by the working environment
Coordinate with other departments (Administration, Operation, Technical, etc.) to plan and carry out training and/or certification activities (e.g. SIO / K3) according to the provisions of the QHSE policies
Responsible for complying with this job description and to any additional tasks asked by hierarchy

Qualifications:
Preferably domiciled in South Kalimantan
Engineering Bachelor or another allied field
Bachelor in Occupational Health and Safety
Working Experiences: min. 2–3 years of relevant experience in QHSE roles
Having a certificate A3U will be advantage
Proficient in English
Proficient in Microsoft Office (Excel, Word, PowerPoint)",,,,
Cluster Sales Executive IM3 (Banjarmasin),Banjarmasin,Indosat Ooredoo,9 hari yang lalu,,"Job Description:
Being a main contributor to Head of Branch on Business Strategic Development volume Sales Area
Collaborate with Distribution Partner to develop existing cluster with target growth Reload.
Monitor and ensure availability & visibility of Indosat product in cluster including monitor card distribution to all distro / outlet in the respective cluster
Advocate all sales channel related all Indosat promotion & products
Strengthen retail penetration (open new outlet) and outlet engagement (Indosat promo or products as main preferable sale by outlet)
Educate distributor’s team to comply with distributor KPI (training, coaching, & counseling)
Direct & guide distributor to deliver activities in the cluster including brand activities, sales event, happening art, bundling program and community program
Monitor network availability and escalate to Head of Branch and Function Sales Assurance in Region for any network problem in the respective cluster
Compiling daily reports and send to Head of Branch and related function in Region
Coordinate with Rural GTM Executive (RGE) for any requirement regarding marketing promotion / branding in the respective cluster
Execute and achieve functional goals given by managers
Provide continuous inputs on business process and systems improvement

Qualification:
Minimum of 2 years of experience in Sales.
Experience in telecommunications or related industry is preferred.
Min. bachelor’s degree
Able to demonstrate leadership role in recent projects which involve cross functional effort within the company
Good understanding of commercial operation of the business and able to work in different roles within the Group
Has driving license (Sim A & C) is mandatory
Willing to be placed in Banjarmasin",,,,
STORE MANAGER,Banjarmasin,CV Nio Utaman,27 hari yang lalu,Rp 5.000.000 – Rp 7.000.000 per month,"Bahankoe- Pusat Bahan Kue, memiliki Visi:
Menjadi jaringan retail bahan perlengkapan kue dan minuman terbaik dan terlengkap yang berorientasi kepada kepuasan pelanggan di Kalimantan serta memiliki 7 (tujuh) cabang pada tahun 2027.

Dengan Misi:
1. Mengutamakan pelayanan berkualitas yang melampaui harapan pelanggan.
2. Membangun hubungan yang saling menguntungkan dengan mitra usaha.
3. Menciptakan Sumber Daya Manusia yang kompeten dan profesional.
4. Mengelola sistem bisnis secara inovatif untuk mendukung kemajuan usaha.
5. Meningkatkan kesejahteraan bagi seluruh pemangku kepentingan.

Saat ini membuka kesempatan untuk mengisi Posisi : Store Manager
Penempatan :
- Cabang di Wilayah Banjarmasin - Kalimantan Selatan
 Kualifikasi :
Berusia Maksimal 40 Tahun.
Pendidikan Minimal SMA/SMK/S-1 Semua Jurusan.
Berpengalaman minimal 3 Tahun sebagai Store Manager di Retail Groceries & FnB .
Mampu berpikir kreatif, inovatif, berintegritas dan terbiasa dengan target.
Memiliki kemampuan leadership, komunikasi, negosiasi, dan pemahaman mengenai Toko Retail (Minimarket/Supermarket) dengan baik.
Mampu mengoperasikan komputer MS Office level intermediate.

Gambaran Pekerjaan:
Bertanggungjawab terhadap berjalannya operasional Toko dan juga staff/tim mulai dari pengaturan schedule kerja serta kedisiplinan kerja.
Memeriksa kesesuaian nilai inventori dengan data di dalam sistem secara berkala (termasuk menjalankan untuk menghindari terjadinya kesalahan data dan potensi shrinkage yang terjadi)
Memberikan pelayanan yang sesuai (atau melebihi) harapan pelanggan untuk meningkatkan loyalitas pelanggan.",5000000.0,7000000.0,month,IDR
Brach Manager,Banjarmasin Selatan,PT Mitra Megah Profitamas,22 hari yang lalu,,"About the role

We are seeking an exceptional Branch Manager to join our team at PT Mitra Megah Profitamas' in South Kalimantan. This full-time position is a crucial role that will be responsible for supporting the overall operations of the business and contributing to its strategic growth.
What you'll be doing
Develop strategic plans, policies, direction, and branch targets in accordance with the instructions and directives provided by Management regarding the 3S (Sales, Service, Spareparts).
Responsible for the branch's achievements and performance in sales operations, administration and service, and human resource development by planning, monitoring, and evaluating in accordance with Management's targets.
Establish sales targets and be responsible for achieving sales targets, market share, and branch profits based on the results of the analysis.
Improve branch productivity and performance, as well as customer satisfaction, and maintain good customer relationships.
Coordinate, supervise, and be responsible for coaching, development, and branch activities.
Motivate and maintain intensive communication with Sales Heads and Service Managers.
Provide effective reporting on a regular and periodic basis.
What we're looking for
Minimum 5 years of experience in Sales and Marketing Manager or related position
Experience at Automotive Dealership R4 is a big plus
Strong understanding of operational best practices and the ability to drive process improvements
Excellent problem-solving, decision-making, and critical thinking skills
Proven track record of effective team leadership and people management
Excellent communication and interpersonal skills, with the ability to collaborate effectively with stakeholders at all levels
Proficient in using relevant business software and technology tools
Degree in Business Administration, Operations Management or a related field
What we offer

At PT Mitra Megah Profitamas', we are dedicated to providing our employees with a supportive and rewarding work environment. In addition to a competitive salary, we offer a comprehensive benefits package, including health insurance, retirement contributions, and opportunities for career advancement. We also prioritise work-life balance, with flexible scheduling and opportunities to work remotely when appropriate. If you are passionate about leading a dynamic retail team and driving business growth, we encourage you to apply for this exciting opportunity.",,,,
"Sales Consultant (Mondial, Frank & Co., The Palace) - Banjarmasin",Banjarmasin,PT Central Mega Kencana,13 hari yang lalu,,"JOB DESCRIPTION :
Sales marketing
Achieve selling target
Explain product to customer
Handling customer complain
Interesting compensations, benefits, and bonus

REQUIREMENT :
Candidate must possess at least a Diploma III, Bachelor's Degree (any field)
Have good communication, selling skills, and target-oriented
Have at least 1 years experience in sales marketing
Willing to work with shift hours (mall operating hours; including Saturday, Sunday & public holiday 1 day off on weekdays)
Placement: Duta Mall Banjarmasin",,,,
Area Sales Manager All Kalimantan (Based : Banjarmasin),Banjarmasin,,8 hari yang lalu,,"Job Responsibilities:
Develop sales target and ensure the achievement of sales target through the implementation of sales programs and marketing programs by field force

Requirements:
Candidate must possess at least a Diploma, Bachelor's Degree, any field.
Required skill(s): sales activities, product knowledge.
At least 3 year(s) of working experience as Area sales manager in Pharmaceutical Company and FMCG Company.
Preferably Manager / Assistant Managers specializing in Sales - Corporate or equivalent.
Full-Time position(s) available.

If you meet the requirement please send your CV only shortlisted candidates will be notified",,,,
Lowongan Kerja Area Sales Supervisor Beverage - West,Banjarmasin,"PT SMART,Tbk",15 hari yang lalu,,"Info Terbaru Lowongan Kerja Area Sales Supervisor Beverage West Banjarmasin September 2025 di SMART Agribusiness and Food. Selamat Pagi bagi pengunjung setia yang sedang mencari pekerjaan. Semoga tidak nyerah untuk mencari pekerjaan yang cocok dengan impian Anda. Memang kadang mencari pekerjaan yang sesuai sangatlah susah di tahun 2025 ini. Pada kesempatan ini admin akan memberikan informasi Lowongan Kerja Area Sales Supervisor Beverage West Banjarmasin September 2025 di SMART Agribusiness and Food. Berikut ini informasi lebih rinci mengenai Lowongan Kerja Area Sales Supervisor Beverage West Banjarmasin September 2025 SMART Agribusiness and Food.
Lowongan Kerja Area Sales Supervisor Beverage West Banjarmasin September 2025 SMART Agribusiness and Food
Berikut ini adalah ketentuan yang harus Anda penuhi untuk melamar Lowongan Kerja Area Sales Supervisor Beverage West Banjarmasin September 2025 SMART Agribusiness and Food yang dibuka pada bulan September 2025 ini:
Job Description Summary : Responsible for the performance of the sales team below and achievement of KPI behavior, KPI revenue, KPI collection and Service Level. Job Description :
Responsible for achieving the monthly target
Customer data master accuracy
Active Outlet
Ensure the selling step walk by FSR
Proximity relationship with the customer
Monitor service level GT and LMT
Job Requirements :
Candidate must possess at least a Bachelor's Degree in any major
At least 4 year(s) of working experience as sales supervisor distribution specially handle beverage
Excellent in communication skill
Good network in business area Banjarmasin
""Our company has never levied any fees for the recruitment process nor has it required to order tickets and accommodation through a certain travel agent or certain person""
Hanya kandidat yang memenuhi persyaratan di atas yang akan dipanggil untuk melakukan interview. Untuk itu jika Anda berminat dan memenuhi kandidat Lowongan Kerja Area Sales Supervisor Beverage West Banjarmasin September 2025 SMART Agribusiness and Food di atas, silahkan kirimkan lamaran Anda sebelum kadaluwarsa.
Demikian informasi Lowongan Kerja Area Sales Supervisor Beverage West Banjarmasin September 2025 SMART Agribusiness and Food yang dapat kami sampaikan. Semoga informasi lowongan kerja hari ini membantu Anda sekalian yang sedang mencari pekerjaan. Jika Info lowongan kerja di atas tidak cocok dengan pendidikan Anda, tidak ada salahnya untuk membaca informasi lowongan kerja lainnya di bawah ini. Akhir kata kami ucapkan thank you sudah mengunjungi website ini, jangan lupa untuk membagikan informasi bermanfaat ini melalui twitter. Selamat mencari kerja dan berkarya!
Jika Anda berminat melamar Lowongan Kerja Area Sales Supervisor Beverage West Banjarmasin September 2025 SMART Agribusiness and Food, segera siapkan persyaratan dan dokumen yang diminta untuk mendaftar Lowongan Kerja Area Sales Supervisor Beverage West Banjarmasin September 2025 SMART Agribusiness and Food tersebut. Silakan klik tombol ""Kirim Lamaran"" di bawah ini.
  Kirim Lamaran
  BRITON English Education -   Banjarmasin | Dibuka : 25 Juli 2025
TEACH, LEAD, INSPIRE! Briton English Education, Authorized Cambridge Assessment Centre, is the leading English school in Indonesia. We are a learning organization with a passion",,,,
Taskforce - Kalimantan,Banjarmasin,PT Amartha Mikro Fintek (Jakarta),30+ hari yang lalu,,"About Amartha
At Amartha, we empower micro-businesses across Indonesia, enabling growth and equal prosperity. We’ve supported over 2.7 million entrepreneurs—mostly women—by disbursing IDR 22.8 trillion in funding. As we step into 2025, Amartha is evolving into a technology-driven financial ecosystem, expanding our reach in lending, funding, and payments. Through innovation and digital solutions, we aim to enhance accessibility, streamline processes, and create a seamless user experience.
About the Role
The Taskforce role carries significant responsibility and autonomy, with the opportunity to drive improvements through initiatives and proposals. It plays a central role in both operations and the recovery process.
Back-Up Operations Responsibilities
Conduct surveys, validate, and disburse funds to partners at the point of contact
Perform daily closing activities at the point of contact
Handle administrative activities at the assigned point as the Branch Manager (BM)
Conduct visits and monitor the point team
Ensure that disbursement targets and Outstanding PAR (Problematic Account Rate) are achieved
In carrying out these duties and responsibilities, the taskforce is authorized to take initiatives and may propose:
Mapping of Majelis and Business Partners (BP)
Fulfillment of Business Partner needs
Other initiatives that support target achievement
Recovery Process Responsibilities
Manage the portfolio by identifying issues and implementing action strategies for resolution
Analyze issues at the point of contact
Provide feedback to LPR (Loan Processing Reconciliation) and HMB (Head of Management Branch) to take corrective actions
Provide guidance to ensure recovery targets are achieved (Flow rate and PAR improvement)
In carrying out these duties and responsibilities, the taskforce is authorized to take initiatives and may propose:
Mapping of Majelis and Business Partners (BP)
Proposals for BP fulfillment
Other strategic initiatives to support recovery and performance goals
Requirements
Willing to be placed at any Amartha branch across Indonesia for 3-6 months
At least 2 years of experience in the Grameen field or in another financial company
Experienced in collections and handling problematic customers
Knowledgeable in and able to implement business processes based on the Grameen model
Willing to travel and be stationed anywhere in Indonesia
At Amartha, we are dedicated to creating a workplace that celebrates diversity, ensures equity, and fosters inclusion. We believe that diverse perspectives—shaped by factors such as gender, age, race, ethnicity, education, culture, and life experiences—drive innovation and growth.
We actively welcome individuals from all backgrounds to join us in building an environment where everyone feels respected, valued, and empowered. Our commitment is to provide equal opportunities and foster a sense of belonging that enables our employees to thrive and make meaningful contributions.",,,,
Business Development - Banjarmasin,Banjarmasin,PT Commeasure Solutions Indonesia,1 hari yang lalu,,"Job description
RedDoorz is  Southeast Asia's largest and fastest-growing, technology-driven hotel management & booking platform. With over 5000+ properties across Southeast Asia, our vision is to enable people to travel more and provide an affordable, reliable stay in all major cities and destinations.

Responsibilities
Build and acquire new sales leads within the hospitality industry, focusing on hotels and property owners.
Develop and nurture client relationships to ensure satisfaction and loyalty.
Prepare sales materials such as proposals, contracts, and presentations to effectively communicate our offerings and value proposition.
Conduct canvassing activities, including door-to-door visits to hotels, to expand our client base and generate leads.

Qualifications
Bachelor's degree or equivalent 
1 - 3 years' prior industry related business development experience
Strong communication and interpersonal skills
Proven knowledge and execution of successful development strategies
Focused and goal-oriented
Willing to be placed all over Indonesia",,,,
Branch Manager,Banjarmasin,PT Jumbo Power International,20 hari yang lalu,,"Qualification :
Minimum Bachelor's degree in any major (preferably in Management, Business, or related fields).
Minimum 3 years of experience as a Branch Manager or equivalent managerial position in the Lubricants / FMCG industry is highly preferred.
Strong analytical skill and can assess customer opportunities and competitor behavior.
Proven ability to develop business strategies and achieve sales targets.
Strong leadership, communication, and team motivation skills.
Able to work independently and under pressure.
Proficient in Microsoft Office and business reporting tools.
Working days: Monday to Saturday.
Placement: Banjarmasin.",,,,
