Title,Location,Company,Posting,Salary
Offline Validator Associate (Contract Based),Makassar,Operations,12 hari yang lalu,N/A
Loss Prevention Manager25135060,Makassar,Four Points by Sheraton,20 hari yang lalu,N/A
Sales Staf Makassar,Makassar,PT Steel Pipe Industry of Indonesia Tbk,23 hari yang lalu,N/A
Sales Specialist (Sulawesi),Sulawesi Selatan,PT Zoomlion Indonesia Heavy Industry,29 hari yang lalu,N/A
Position,Makassar,"PT Summarecon Agung, Tbk",19 hari yang lalu,N/A
Teachers,Makassar,eNow Kids,28 hari yang lalu,Rp 2.553.333 – Rp 3.830.000 per month
Sales Specialist Makassar,Makassar,PT Indofresh,29 hari yang lalu,N/A
Food & Beverage Manager,Makassar,PT Accor Advantageplus,26 hari yang lalu,N/A
Course Consultant,Makassar,PT. Edukasi Mandiri Pratama,29 hari yang lalu,Rp 3.300.000 – Rp 3.500.000 per month
Channel Sales Rep. Jr.,Sulawesi Selatan,Mitra Integrasi Informatika,11 hari yang lalu,N/A
Engineering Manager25135063,Makassar,Four Points by Sheraton,20 hari yang lalu,N/A
INSURANCE SPECIALIST BANCASSURANCE CONVENT (MAKASSAR),Makassar,PT PFI Mega Life Insurance,19 hari yang lalu,N/A
Business Representative - Makassar,Makassar,"PT Adi Sarana Armada, Tbk",30+ hari yang lalu,N/A
Beauty Advisor (Makassar),Makassar,PT Beaute Haul Indonesia (Beautyhaul - Somethinc),30+ hari yang lalu,N/A
Field Investigator Officer - Makassar,Makassar,Cermati Fintech Group,23 hari yang lalu,N/A
Field Investigator Officer - Makassar,Makassar,Cermati Fintech Group,21 hari yang lalu,N/A
Lowongan Kerja Loss Prevention Manager,Makassar,Marriott International,20 hari yang lalu,N/A
Guest Service Attendant,Makassar,Duta Samudera Indonesia,30+ hari yang lalu,N/A
Director of Finance25129006,Makassar,Four Points by Sheraton,30+ hari yang lalu,N/A
Progress Advisor,Gowa,PT. Edukasi Mandiri Pratama,7 hari yang lalu,Rp 3.600.000 – Rp 3.800.000 per month
Branch Manager - Bantaeng (Sulawesi Selatan),Makassar,Ruangguru.com,30+ hari yang lalu,N/A
Host/MC,Makassar,Duta Samudera Indonesia,30+ hari yang lalu,N/A
Director of Food & Beverage25117499,Makassar,Four Points by Sheraton,30+ hari yang lalu,N/A
Sales Admin,Makassar,Little Joy,30+ hari yang lalu,N/A
Guest Experience Expert25114298,Makassar,Four Points by Sheraton Makassar,30+ hari yang lalu,N/A
Storekeeper,Makassar,Duta Samudera Indonesia,30+ hari yang lalu,N/A
Branch Manager English Academy - Makassar - Sudiang,Makassar,Ruangguru.com,30+ hari yang lalu,N/A
F&B and Event Service Expert25112814,Makassar,Four Points by Sheraton Makassar,30+ hari yang lalu,N/A
Guest Experience Expert,Makassar,Four Points,30+ hari yang lalu,N/A
Housekeeping Female,Makassar,Duta Samudera Indonesia,30+ hari yang lalu,N/A
Assistant Commis,Makassar,Duta Samudera Indonesia,30+ hari yang lalu,N/A
District Sales Manager - Insurance (Makassar),Makassar,Cermati Fintech Group,30+ hari yang lalu,N/A
Marketing Associate - Makassar Placement,Makassar,PT Mid Solusi Nusantara (MEKARI),30+ hari yang lalu,N/A
Photographer,Makassar,Duta Samudera Indonesia,30+ hari yang lalu,N/A
Chef de Partie Pastry,Makassar,Duta Samudera Indonesia,30+ hari yang lalu,N/A
Branch Manager - Maros (Sulawesi Selatan),Makassar,Ruangguru.com,30+ hari yang lalu,N/A
Oncology Product Specialist (Makassar),Makassar,PT AstraZeneca Indonesia,30+ hari yang lalu,N/A
Commis Cold Kitchen,Makassar,Duta Samudera Indonesia,30+ hari yang lalu,N/A
Public Area Supervisor,Makassar,Four Points,30+ hari yang lalu,N/A
Chef de Partie Hot Kitchen,Makassar,Duta Samudera Indonesia,30+ hari yang lalu,N/A
Commis Butcher/Pastry/Baker,Makassar,Duta Samudera Indonesia,30+ hari yang lalu,N/A
Lowongan Kerja Marketing Staff - Finance Lease Makassar,Makassar,PT. ORIX Indonesia Finance (ORIF),30+ hari yang lalu,N/A
Lowongan Kerja Sales Marketing - Makassar,Makassar,PT Steel Pipe Industry of Indonesia Tbk (SPINDO),30+ hari yang lalu,N/A
Lowongan Kerja Hotel Cleanliness Expert,Makassar,Marriott International,30+ hari yang lalu,N/A
Pharmacy Assistant (TTK) - Makassar,Takalar,PT Inovasi Apotek Indonesia,30+ hari yang lalu,N/A
"Medical Sales Representative, Tangerang",Tangerang,Teva Pharmaceuticals,1 jam yang lalu,N/A
Young Professionals Fast Track,Jakarta Selatan,Deliveree (PT Angkut Teknologi Indonesia),6 hari yang lalu,"Rp 6,000,000 – Rp 9,000,000 per month"
Change Management,Tangerang,ASIA PULP AND PAPER,12 hari yang lalu,N/A
Lead Generation,Tangerang,CV Indopromosi,2 hari yang lalu,Rp 6.000.000 – Rp 7.000.000 per month
Event & Promotion Supervisor (Mall),Tangerang Selatan,Progress Group,4 jam yang lalu,Rp 10.000.000 – Rp 12.000.000 per month
"Intern, Import Documentation Administrator",Tangerang,ASIA PULP AND PAPER,6 hari yang lalu,N/A
Quality Control/Assurance Supervisor Collection (Finance Industry),Tangerang,PT Progo Puncak Group,8 hari yang lalu,Rp 15.000.000 – Rp 20.000.000 per month
Factory Development Program,Tangerang,PT Star Cosmos,6 hari yang lalu,N/A
Permit Handling Unit Head,Tangerang,PT PAM Lyonnaise Jaya (Palyja),1 hari yang lalu,Rp 6.500.000 – Rp 9.750.000 per month
Billing Staff (HQ - BSD CITY),Tangerang,PT Aeon Mall Indonesia,12 hari yang lalu,N/A
Retail Sales Airconditioning Utility Business,Tangerang,PT Daikin Airconditioning Indonesia,23 jam yang lalu,Rp 10.200.000 – Rp 10.700.000 per month
Marketing Communication Officer,Tangerang,Paramount Enterprise,8 hari yang lalu,N/A
Supervisor Sales Admin and Customer Services,Kecamatan Tangerang,N/A,3 hari yang lalu,N/A
R&D Pet Care,Kabupaten Tangerang,N/A,2 jam yang lalu,Rp 7.000.000 – Rp 10.000.000 per month
EXPORT - IMPORT ADMINISTRATION STAFF,Jakarta Barat,PT Pahala Bahari Nusantara,1 hari yang lalu,N/A
Import Export Assistant Manager (Air Customs),Tangerang,PT Trust Recruit Indonesia,2 hari yang lalu,Rp 13.000.000 – Rp 16.000.000 per month
Legal License and Permit (Cikande Placement),Tangerang,PT Lami Packaging Indonesia,1 hari yang lalu,N/A
Executive Assistant,Tangerang,N/A,19 hari yang lalu,N/A
Export Import Staff,Kabupaten Tangerang,PT Rinnai Indonesia,2 hari yang lalu,Rp 5.000.000 – Rp 6.500.000 per month
Inventory Control,Jakarta Barat,PT Jui Shin Indonesia (Semen Garuda),2 hari yang lalu,N/A
RTR Lead,Tangerang Selatan,PT Hero Retail Nusantara,1 jam yang lalu,N/A
Event and Partneship Staff,Karawaci,LITTLE PALMERHAUS,28 hari yang lalu,Rp 5.500.000 – Rp 8.000.000 per month
Admin Distribusi,Tangerang,PT. KOPI BINTANG INDONESIA,18 hari yang lalu,N/A
General Affairs Supervisor,Tangerang,PT Astari Niagara Internasional,21 hari yang lalu,N/A
Continuous Improvement Engineer Staff,Tangerang,PT Eka Jaya Internasional,18 hari yang lalu,N/A
Customer Service and Operation Specialist (Airfreight),Jakarta Selatan,Easy Speed International Logistics Limited,8 hari yang lalu,"Rp 8,000,000 – Rp 12,000,000 per month"
Warehouse Assistant Mandarin,Karawaci,PT. Surya Fajar Indonesia,22 jam yang lalu,Rp 12.000.000 – Rp 15.000.000 per month
Procurement Officer,Jakarta Selatan,PT. OCS Global Services (OCS Indonesia),51 menit yang lalu,N/A
Warehouse supervisor,Tangerang Selatan,PT Nardevchem Kemindo,5 hari yang lalu,Rp 8.000.000 – Rp 12.000.000 per month
Business Development,Tangerang,Odoo,20 hari yang lalu,N/A
GURU KOMPUTER,Tangerang,Sekolah Jaya Manggala,1 hari yang lalu,Rp 2.500.000 – Rp 3.500.000 per month
Account Receivable Staff / Collection Staff,Cipondoh,PT. Java Reef Indonesia Perkasa,29 hari yang lalu,N/A
Executive Assistant,Tangerang,N/A,19 hari yang lalu,N/A
Staff Sales Admin,Jakarta Pusat,PT Trafoindo Prima Perkasa,7 hari yang lalu,N/A
SAP TRAINEE PROGRAM,Jakarta Barat,"PT. Metrodata Electronics, Tbk",15 hari yang lalu,N/A
OTN Engineer,Jakarta Barat,PT Fiberhome Technologies Indonesia,1 hari yang lalu,N/A
Guest Relations Supervisor - SKYE Jakarta,Jakarta Pusat,ISMAYA GROUP,23 jam yang lalu,N/A
Warehouse Assistant Mandarin,Karawaci,PT. Surya Fajar Indonesia,22 jam yang lalu,Rp 12.000.000 – Rp 15.000.000 per month
Euromedica Group - Internship Program,Jakarta Selatan,EUROMEDICA GROUP,1 hari yang lalu,N/A
Event Specialist,Jakarta Pusat,PT Daikin Airconditioning Indonesia,20 hari yang lalu,Rp 10.800.000 – Rp 10.900.000 per month
Marketing Staff,Kembangan,PT. EoS Maju Bersama,7 hari yang lalu,Rp 5.000.000 – Rp 6.500.000 per month
Account Receivable Staff / Collection Staff,Cipondoh,PT. Java Reef Indonesia Perkasa,29 hari yang lalu,N/A
Personal Assistant to General Manager,Jakarta Barat,SINAR MITRA PERKASA,24 hari yang lalu,Rp 10.000.000 – Rp 12.000.000 per month
MEP Assistant Manager (Building Operations) - Real Estate - Jakarta (B-123186),Jakarta Pusat,RGF HR Agent Indonesia,1 jam yang lalu,Rp 15.000.000 – Rp 18.000.000 per month
General Affairs Supervisor,Tangerang,PT Astari Niagara Internasional,21 hari yang lalu,N/A
GURU KOMPUTER,Tangerang,Sekolah Jaya Manggala,1 hari yang lalu,Rp 2.500.000 – Rp 3.500.000 per month
Business Development,Tangerang,Odoo,20 hari yang lalu,N/A
Continuous Improvement Engineer Staff,Tangerang,PT Eka Jaya Internasional,18 hari yang lalu,N/A
Event and Partneship Staff,Karawaci,LITTLE PALMERHAUS,28 hari yang lalu,Rp 5.500.000 – Rp 8.000.000 per month
Government Relation Manager (Shipping),Jakarta Pusat,SOECHI GROUP,1 hari yang lalu,N/A
"Account Representative Horeca/Institution (JaBar, JABODETABEK, Banten & Sumatra)",Tangerang,WINGS Group,26 hari yang lalu,N/A
Admin Distribusi,Tangerang,PT. KOPI BINTANG INDONESIA,18 hari yang lalu,N/A
Sparepart & Inventory Management,Jakarta Barat,PT. Hisense International Indonesia,30+ hari yang lalu,N/A
Outbound Document Staff,Jakarta Selatan,PT. Dynamic Container Lines (Wan Hai Lines (Singapore) PTE LTD),6 hari yang lalu,Rp 5.300.000 – Rp 6.500.000 per month
Multimedia Officer,Jakarta Selatan,Jakarta Intercultural School,21 jam yang lalu,N/A
Import Staff,Jakarta Barat,PT. Biru International,30+ hari yang lalu,Rp 6.000.000 – Rp 8.000.000 per month
Finance Manager,Tangerang,PT. DAUR MATERIAL INDONESIA,15 hari yang lalu,N/A
Procurement & Export-Import Specialist,Tangerang,PT Airfast Indonesia,7 hari yang lalu,N/A
Account Payable Staff,Jakarta Pusat,PT OS Selnajaya Indonesia,11 hari yang lalu,Rp 5.700.000 – Rp 6.500.000 per month
"Intern, Recruitment",Tangerang,ASIA PULP AND PAPER,28 hari yang lalu,N/A
CS AIR EXPORT STAFF,Tangerang,PT NNR RPX Global Logistics Indonesia,6 hari yang lalu,N/A
Procurement Manager (Data Center),Jakarta Pusat,Princeton Digital Group (Singapore) SG1 Pte Ltd,5 hari yang lalu,N/A
Jr Brand Manager (International),Jakarta Pusat,PT Kapal Api Global,2 hari yang lalu,N/A
"Customer Service (Jakarta), Operations, SeaBank",Jakarta Selatan,PT Bank Seabank Indonesia,6 hari yang lalu,N/A
IT ERP (SAP) Functional Staff,Jakarta Selatan,PT Bayan Resources,2 hari yang lalu,N/A
DS. Support Team Leader (Sales Support & Organization Management),Jakarta Selatan,PT Coway International Indonesia,1 hari yang lalu,N/A
Digital Experience Channel Management Jr. Specialist,Jakarta Selatan,PT Bussan Auto Finance (BAF),18 hari yang lalu,N/A
Services Head Indonesia,Jakarta Raya,Citibank,18 jam yang lalu,N/A
Customs Clearence Staff,Jakarta Raya,N/A,1 hari yang lalu,N/A
Executive Assistant for C Level Visinema,Cilandak,PT Merah Cipta Media,14 hari yang lalu,Rp 10.000.000 – Rp 15.000.000 per month
Telesales Agent,Jakarta Selatan,Cartrack Technologies Indonesia,5 hari yang lalu,Competitive Reimuneration
Haji & Umrah Junior Analyst,Jakarta Selatan,Mitra Tours And Travel,14 hari yang lalu,N/A
Drafter - MEP Data Center Construction,Jakarta Selatan,PT. Atoz Teknik Sejahtera,15 hari yang lalu,N/A
HEAD OF QUANTITY SURVEYOR (GM LEVEL),Jakarta Selatan,N/A,1 hari yang lalu,N/A
Work Permit Staff,Jakarta Selatan,PT Indonesia Weda Bay Industrial Park,8 hari yang lalu,N/A
Senior Sales Engineer (Material Handling Equipment),Jakarta Selatan,PT Jebsen & Jessen Technology Indonesia,16 hari yang lalu,N/A
Client Acquisition Specialist,Tebet,PT. PURWANTO ASSET MANAGEMENT,1 hari yang lalu,N/A
Admission Officer,Jakarta Raya,Yayasan Bina Nusantara,8 hari yang lalu,N/A
Key Account Supervisor,Jakarta Selatan,Indofood Group,6 hari yang lalu,N/A
Customer Experience Manager – Luxury Brand,Jakarta Selatan,EUROMEDICA GROUP,15 hari yang lalu,N/A
"Team Leader Collection Support Quality Assurance, Operations, SeaBank",Jakarta Selatan,PT Bank Seabank Indonesia,16 hari yang lalu,N/A
Travel & Formalities Officer,Jakarta Pusat,PT BAGAS BUMI PERSADA,1 hari yang lalu,N/A
MANDARIN STAFF (MANDARIN SPEAKER),Jakarta Selatan,Bank of China (Hong Kong) Limited Jakarta Branch,16 hari yang lalu,N/A
Technical Project Lead,Jakarta Selatan,PT Transcosmos Indonesia,5 hari yang lalu,N/A
IT Staff,Jakarta Selatan,KNIGHT FRANK,13 hari yang lalu,N/A
Outsoursing & Procurement/ Purchasing Staff,Jakarta Raya,PT. High Volt Technology,6 hari yang lalu,N/A
SENIOR SALES REPRESENTATIVE (COMPRESSOR ROTATING EQUIPMENT),Jakarta Selatan,PT Rieckermann Indonesia,18 hari yang lalu,N/A
Operations Support Sr. Lead,Setiabudi,Halodoc,9 hari yang lalu,N/A
"Collection Agency Management, Operations, SeaBank",Jakarta Selatan,PT Bank Seabank Indonesia,7 hari yang lalu,N/A
Salesforce Developer,Jakarta Selatan,PT Hyundai Autoever Indonesia,16 hari yang lalu,N/A
Internal Audit,Jakarta Selatan,PT Internusa Jayaabadi Sentosa,13 hari yang lalu,N/A
Toll Manufacturing Export and Acquisition (TMEA) Associate (Contractual),Jakarta Selatan,"PT Darya Varia Laboratoria, Tbk",15 hari yang lalu,N/A
Procurement Staff,Jakarta Selatan,PT. ESCO Teknologi Integrasi,16 hari yang lalu,N/A
SOP Officer,Jakarta Selatan,"PT Tower Bersama Infrastructure, Tbk",29 hari yang lalu,N/A
Purchasing Officer,Jakarta Selatan,PT Ming Jaya Sejahtera,21 hari yang lalu,N/A
"Field Collection Jabodetabek, Operations, SeaBank",Jakarta Selatan,PT Bank Seabank Indonesia,7 hari yang lalu,N/A
Crew Support Staff,Jakarta Selatan,PT BBN Airlines Indonesia,22 hari yang lalu,N/A
Talent Acquisition & Branding Officer,Jakarta Selatan,"PT Kirana Megatara, Tbk (Triputra Group)",28 hari yang lalu,N/A
English Customer Service Experience (JAKARTA),Jakarta Selatan,Teleperformance,13 hari yang lalu,N/A
Travel Consultant for Night Shift (Emergency Team Service),Jakarta Selatan,PT Citra Wahana Tirta Indonesia,10 hari yang lalu,N/A
Mandarin Translator,Jakarta Selatan,PT Taman Wisata Jogja,6 hari yang lalu,N/A
Solutions Architect,Jakarta Selatan,PT Exabytes Network Indonesia,8 hari yang lalu,N/A
Japanese Translator (Sales) N2,Jakarta Selatan,PT Trust Recruit Indonesia,1 hari yang lalu,Rp 8.000.000 – Rp 12.000.000 per month
MANDARIN SPEAKER - Junior Technical Support Engineer,Jakarta Selatan,PT Whale Cloud Technology Indonesia,11 hari yang lalu,N/A
T&T Consultant - AMS - SAP OpenText - ID,Jakarta Raya,Deloitte Consulting SEA,1 hari yang lalu,N/A
Senior Auditor,Jakarta Selatan,"KAP Teramihardja, Pradhono & Chandra",28 hari yang lalu,N/A
Senior Videographer (Singapore),Jakarta Raya,Boom Digital Media,20 hari yang lalu,"$5,000 – $7,500 per month (SGD)"
Purchaser (Buyer.SCM.Procurement.),Jakarta Raya,Eaton Group,8 menit yang lalu,N/A
Customer Service - Assistant Manager,Jakarta Raya,redBus,7 hari yang lalu,"Rp 11,000,000 – Rp 14,000,000 per month"
Sales & Marketing Supervisor - Furniture for Retail - Jakarta (B-121783),Jakarta Selatan,RGF HR Agent Indonesia,8 hari yang lalu,Rp 7.500.000 – Rp 11.000.000 per month
Marketing Assistant Manager - Financial Lease (B-121966),Jakarta Selatan,RGF HR Agent Indonesia,6 hari yang lalu,Rp 13.000.000 – Rp 15.000.000 per month
Full Stack Developer and Operations Support,Jakarta Pusat,PT. CNAINDO TEKNOLOGI,2 jam yang lalu,Rp 5.400.000 – Rp 7.000.000 per month
Life Planner/ Relationship Manager,Jakarta Raya,AXA Mandiri Life Planner,30+ hari yang lalu,N/A
Area Manager (East Java Area),Jakarta Raya,PT Chateraise Gobel Indonesia,14 hari yang lalu,Rp 8.000.000 – Rp 10.000.000 per month
Sales & Marketing (Mandarin Speaker),Jakarta Selatan,PT JAC Consulting Indonesia,8 hari yang lalu,Rp 7.000.000 – Rp 8.000.000 per month
Sales Account Manager,Jakarta Raya,PT. OCS Global Services (OCS Indonesia),5 hari yang lalu,N/A
MARKETING LEAD — LUXURY BRANDED RESIDENCES,Jakarta Raya,JSI Group,6 hari yang lalu,N/A
Life Planner/ Relationship Manager (Jakarta),Jakarta Raya,AXA Mandiri Life Planner,18 hari yang lalu,N/A
SALES MARKETING INTERNATIONAL AIR FREIGHT,Jakarta Raya,PT Suryagita Nusaraya,13 hari yang lalu,Rp 8.000.000 – Rp 10.000.000 per month
Sales Staff - Electronics (B-119878),Jakarta Selatan,RGF HR Agent Indonesia,8 hari yang lalu,Rp 6.000.000 – Rp 7.000.000 per month
Project Application Sales Engineer,Pasar Minggu,PT JJ-LAPP Cable Indonesia,8 hari yang lalu,N/A
Sales Marketing Staff - Trading (Steel Division) (B-122825),Jakarta Selatan,RGF HR Agent Indonesia,13 hari yang lalu,Rp 7.000.000 – Rp 9.000.000 per month
Sr. Staff ERP Functional - IT Solutions - Jakarta (B-122981),Jakarta Selatan,RGF HR Agent Indonesia,7 hari yang lalu,N/A
Sr. Staff ERP Technical - IT Solutions - Jakarta (B-123004),Jakarta Selatan,RGF HR Agent Indonesia,7 hari yang lalu,N/A
Senior Channel Sales Representative,Kebayoran Lama,PT Honeywell Indonesia,8 hari yang lalu,N/A
Credit Risk Analyst,Kebayoran Lama,PT Amartha Mikro Fintek (Jakarta),30+ hari yang lalu,N/A
IP Executor,Jakarta Raya,PT Infratech Indonesia,20 jam yang lalu,N/A
Key Account Manager EPC,Cilandak,PT Schneider Electric,30+ hari yang lalu,N/A
Sales Japanese N2,Jakarta Selatan,PT Trust Recruit Indonesia,13 hari yang lalu,Rp 9.000.000 – Rp 12.000.000 per month
Business Development (ERP Sales),Jakarta Selatan,PT IFS Solusi Integrasi,21 hari yang lalu,N/A
Senior Fashion Designer - Menswear,Jakarta Selatan,Busana Apparel Group,23 hari yang lalu,N/A
Sales Executive (Freight Forwarding),Jakarta Selatan,PT. Andalan Niaga Expressindo,14 hari yang lalu,Rp 6.000.000 – Rp 9.000.000 per month
Senior Product Development - Beauty Company,Jakarta Selatan,Talent Search Recruitment Consultant,21 hari yang lalu,Rp 15.000.000 – Rp 20.000.000 per month
Japanese Speaker Sales Manager - Steel (Automotive) (A-122234),Jakarta Selatan,RGF HR Agent Indonesia,29 hari yang lalu,Rp 20.000.000 – Rp 22.000.000 per month
Business Consultant Finance,Jakarta Selatan,PT IFS Solusi Integrasi,20 hari yang lalu,N/A
Service Engineer (SPV to MAN) - Medical Equipment - Jakarta (B-122944),Jakarta Selatan,RGF HR Agent Indonesia,7 hari yang lalu,Rp 15.000.000 – Rp 20.000.000 per month
Key Account Manager EPC,Cilandak,PT Schneider Electric,30+ hari yang lalu,N/A
Sales Executive,Jakarta Selatan,N/A,15 hari yang lalu,Rp 6.000.000 – Rp 8.000.000 per month
OP,Kemayoran,MAXWIDE LOGISTICS INC.,3 hari yang lalu,Rp 5.500.000 – Rp 7.500.000 per month
Customer Experience - Japanese Speaker,Jakarta Pusat,PT Mitracomm Ekasarana,27 hari yang lalu,Rp 5.700.000 – Rp 6.500.000 per month
SALES EXECUTIVE FREIGHT FORWARDER,Jakarta Timur,PT Translog Bumi Indonesia,13 hari yang lalu,N/A
Relationship Manager Corporate Funding,Jakarta Selatan,PT Bank CTBC Indonesia,8 hari yang lalu,N/A
SALES EXECUTIVE,Jakarta Pusat,Eastern Oriental,11 hari yang lalu,N/A
Business Development SPV~Asst Manager - Leasing (B2B) (B-122857),Jakarta Selatan,RGF HR Agent Indonesia,12 hari yang lalu,Rp 13.333.333 – Rp 20.000.000 per month
Digital Marketing Manager,Ciracas,PT Eka Bogainti,14 hari yang lalu,N/A
Accounting and Tax Staff,Jakarta Pusat,PT. Kimeko Jasa Handal,19 hari yang lalu,N/A
Business Development Manager,Jakarta Selatan,PT Collectius Asset Management,9 hari yang lalu,N/A
Area Supervisor,Jakarta Pusat,PT Chateraise Gobel Indonesia,14 hari yang lalu,Rp 6.000.000 – Rp 8.000.000 per month
Marketing,Jakarta Utara,PT Bali Artha Seduh,25 hari yang lalu,Rp 6.000.000 – Rp 8.500.000 per month
Sea Freight Commercial Pricing Executive,Jakarta Utara,PT Air Two Sea Logistics Indonesia,19 hari yang lalu,Rp 8.000.000 – Rp 10.000.000 per month
FINANCE ACCOUNTING & TAX SENIOR STAFF,Jakarta Pusat,N/A,26 hari yang lalu,Rp 7.000.000 – Rp 8.500.000 per month
Commercial Sales Marketing Executive,Jakarta Selatan,KNIGHT FRANK,18 hari yang lalu,N/A
Sales Executive - Freight Forwarding,Jakarta Pusat,PT Dexter Eurekatama (Dexter Cargo),15 hari yang lalu,Rp 5.500.000 – Rp 7.500.000 per month
Growth Partner / Progress Advisor,Jakarta Utara,PT CERIA BELAJAR EDUKASI INDONESIA,20 hari yang lalu,Rp 6.000.000 – Rp 8.000.000 per month
Sales Executive Furniture,Jakarta Selatan,MAISON LIVING,9 hari yang lalu,Rp 4.600.000 – Rp 6.900.000 per month
Translator Mandarin,Jakarta Selatan,PT Mutiara Indah Anugrah,27 hari yang lalu,Rp 10.000.000 – Rp 15.000.000 per month
ADMIN (MANDARIN SPEAKER) - FOR AKR SUBSIDIARY,Jakarta Selatan,"PT AKR Corporindo, Tbk",23 hari yang lalu,N/A
Temporary Export Staff - Maternity Leave Replacement (4 months) - Urgent,Jakarta Pusat,PT Mitra Agro Global,29 hari yang lalu,N/A
Accounting Services Manager (Consultant),Jakarta Selatan,N/A,7 hari yang lalu,N/A
Sales & Marketing Executive IMPORT,Jakarta Utara,PT Trio Eagle Logistic,1 hari yang lalu,Rp 8.000.000 – Rp 9.000.000 per month
C# Developer,Jakarta Selatan,PT Petrolink Services Indonesia,14 hari yang lalu,N/A
Senior Account Manager,Jakarta Selatan,PT Jobstreet Indonesia,3 hari yang lalu,N/A
Agent Contact Center (English Role),Jakarta Selatan,PT Transcosmos Indonesia,22 hari yang lalu,Rp 5.400.000 – Rp 6.500.000 per month
Salesforce Developer,Jakarta Selatan,PT Hyundai Autoever Indonesia,16 hari yang lalu,N/A
Crewing Recruitment Manager,Jakarta Pusat,SOECHI GROUP,13 hari yang lalu,N/A
Customer Service and Operation Specialist (Airfreight),Jakarta Selatan,Easy Speed International Logistics Limited,8 hari yang lalu,"Rp 8,000,000 – Rp 12,000,000 per month"
Senior Project Manager,Jakarta Raya,PT Geotechnical & Enviromental Services Indonesia,6 hari yang lalu,Rp 75.000.000 – Rp 100.000.000 per month
Wholesales Manager (Mom & Baby Products),Jakarta Utara,PT TNP Maternity and Baby Trading,19 hari yang lalu,N/A
Software Account Manager (Paques),Jakarta Selatan,PT. Lintas Teknologi Indonesia,26 hari yang lalu,N/A
Quality Control/Assurance Supervisor Collection (Finance Industry),Tangerang,PT Progo Puncak Group,8 hari yang lalu,Rp 15.000.000 – Rp 20.000.000 per month
GA Manager,Jakarta Pusat,PT E-Tirta Medical Center,26 hari yang lalu,N/A
EXPORT STAFF,Jakarta Selatan,PT CENTURY DISTRIBUTION SYSTEMS INDONESIA,12 hari yang lalu,N/A
Automation Programmer,Jakarta Barat,PT Sahabat Inti Solusindo,25 hari yang lalu,N/A
Account Associate (Ecomm Marketing),Jakarta Barat,PT. Cambridge Casual Indonesia,23 hari yang lalu,N/A
IT Infrastructure Specialist REDHAT JUNIPER,Jakarta Raya,PT Palung Data Sistem,27 hari yang lalu,Rp 13.000.000 – Rp 17.000.000 per month
Junior Marketing - Retail,Jakarta Utara,N/A,29 hari yang lalu,Rp 6.000.000 – Rp 8.000.000 per month
Ads E-commerce Spesialist,Jakarta Selatan,PT Eblo Teknologi Indonesia,5 hari yang lalu,Rp 5.000.000 – Rp 5.800.000 per month
Legal and Regulatory Consultant (Mandarin Speaking),Jakarta Pusat,PT. Elit Solusi Niaga,7 hari yang lalu,Rp 11.000.000 – Rp 16.000.000 per month
Global Support Services Engineer,Jakarta Barat,"TRT Shared Services, OPC",27 hari yang lalu,"Rp 40,750,000 – Rp 49,000,000 per month"
Supervisor Tax,Jakarta Pusat,Indesso,7 hari yang lalu,N/A
Tax & Accounting Staff,Jakarta Raya,PT XLT Global Consulting,11 hari yang lalu,N/A
GT Channel Manager,Jakarta Raya,DKT Indonesia,14 hari yang lalu,N/A
Finance Manager,Tangerang,PT. DAUR MATERIAL INDONESIA,15 hari yang lalu,N/A
Business Consultant Jakarta,Jakarta Pusat,PT Galva Galindra Multi Cipta,20 hari yang lalu,Rp 5.400.000 – Rp 7.000.000 per month
Customer Support Supervisor (Logistik),Jakarta Raya,N/A,20 hari yang lalu,N/A
SALES & MARKETING FREIGH FORWARDING,Jakarta Selatan,PT Eusu Logistics Indonesia,6 hari yang lalu,Rp 10.000.000 – Rp 15.000.000 per month
Medical Sales Representative,Jakarta Barat,PT Tamara Overseas Corporindo,28 hari yang lalu,N/A
Logistic Cost Control Manager,Jakarta Utara,N/A,30+ hari yang lalu,N/A
Japanese Interpreter,Jakarta Raya,PT JACCS Mitra Pinasthika Mustika Finance Indonesia,6 hari yang lalu,N/A
Cloud & Network Infrastructure Engineering,Jakarta Raya,PT Accenture,2 hari yang lalu,N/A
Order Fulfilment Management Role,Cikarang Selatan,N/A,22 hari yang lalu,N/A
Sales,Penjaringan,PT Pineapple Creative Studio,29 hari yang lalu,"Rp 5,000,000 – Rp 6,000,000 per month"
Client Acquisition Specialist,Tebet,PT. PURWANTO ASSET MANAGEMENT,1 hari yang lalu,N/A
Sales Support (Japanese Speaker),Jakarta Pusat,PT JAC Consulting Indonesia,29 hari yang lalu,N/A
Trainer Contact Center/Call Center (English Role),Jakarta Selatan,PT Transcosmos Indonesia,8 hari yang lalu,Rp 6.000.000 – Rp 7.000.000 per month
Centre Manager,Jakarta Barat,I CAN READ,27 hari yang lalu,N/A
Sales Data Support Team Leader (Mandarin Speaker),Jakarta Utara,PT. ALPEN FOOD INDUSTRY,8 hari yang lalu,N/A
Financial Analyst Executive,Jakarta Utara,PT New Priok Container Terminal One,11 hari yang lalu,N/A
Field Operator,Jakarta Utara,N/A,7 hari yang lalu,N/A
Order Fulfilment Management Role,Cikarang Selatan,N/A,22 hari yang lalu,N/A
Digital Marketing Specialist,Jakarta Timur,Bhumi,26 hari yang lalu,Rp 7.500.000 – Rp 10.000.000 per month
